mutter_word,foreign_word,foreign_lang,info,groups,declinations
gehen,ir,spanisch,A1,"unregelmäßig;A1-Verben;Gruppe 1","Presente:s1=voy,s2=vas,s3=va,m1=vamos,m2=vais,m3=van|Perfecto:s1=he ido,s2=has ido,s3=ha ido,m1=hemos ido,m2=habéis ido,m3=han ido|Indefinido:s1=fui,s2=fuiste,s3=fue,m1=fuimos,m2=fuisteis,m3=fueron|Futuro:s1=iré,s2=irás,s3=irá,m1=iremos,m2=iréis,m3=irán"
kommen,venir,spanisch,A1,"unregelmäßig;A1-Verben;Gruppe 1","Presente:s1=vengo,s2=vienes,s3=viene,m1=venimos,m2=venís,m3=vienen|Perfecto:s1=he venido,s2=has venido,s3=ha venido,m1=hemos venido,m2=habéis venido,m3=han venido|Indefinido:s1=vine,s2=viniste,s3=vino,m1=vinimos,m2=vinisteis,m3=vinieron|Futuro:s1=vendré,s2=vendrás,s3=vendrá,m1=vendremos,m2=vendréis,m3=vendrán"
ankommen,llegar,spanisch,A1,"regelmäßig;A1-Verben;Gruppe 1","Presente:s1=llego,s2=llegas,s3=llega,m1=llegamos,m2=llegáis,m3=llegan|Perfecto:s1=he llegado,s2=has llegado,s3=ha llegado,m1=hemos llegado,m2=habéis llegado,m3=han llegado|Indefinido:s1=llegué,s2=llegaste,s3=llegó,m1=llegamos,m2=llegasteis,m3=llegaron|Futuro:s1=llegaré,s2=llegarás,s3=llegará,m1=llegaremos,m2=llegaréis,m3=llegarán"
sein,ser,spanisch,A1,"unregelmäßig;A1-Verben;Gruppe 1","Presente:s1=soy,s2=eres,s3=es,m1=somos,m2=sois,m3=son|Perfecto:s1=he sido,s2=has sido,s3=ha sido,m1=hemos sido,m2=habéis sido,m3=han sido|Indefinido:s1=fui,s2=fuiste,s3=fue,m1=fuimos,m2=fuisteis,m3=fueron|Futuro:s1=seré,s2=serás,s3=será,m1=seremos,m2=seréis,m3=serán"
schlafen,dormir,spanisch,A1,"unregelmäßig;A1-Verben;Gruppe 4","Presente:s1=duermo,s2=duermes,s3=duerme,m1=dormimos,m2=dormís,m3=duermen|Perfecto:s1=he dormido,s2=has dormido,s3=ha dormido,m1=hemos dormido,m2=habéis dormido,m3=han dormido|Indefinido:s1=dormí,s2=dormiste,s3=durmió,m1=dormimos,m2=dormisteis,m3=durmieron|Futuro:s1=dormiré,s2=dormirás,s3=dormirá,m1=dormiremos,m2=dormiréis,m3=dormirán"
